"","Sample.name","Sex","Phase","Brood.date","Sample","Tank","File.name.ind.geno","MajorMinor"
"305","ORANGE.F2","F",2,NA,"ORANGE","F2","Ind52.1","AB"
"306","ORANGE.F2","F",2,NA,"ORANGE","F2","Ind52.2","BB"
"307","ORANGE.G2","F",2,NA,"ORANGE","G2","Ind27","AA"
"308","ORANGE.G2","F",2,NA,"ORANGE","G2","Ind27.1","AB"
"309","ORANGE.G2","F",2,NA,"ORANGE","G2","Ind27.2","BB"
"310","PINK.B4C","F",1,NA,"PINK","B4C","Ind53","AA"
"311","PINK.B4C","F",1,NA,"PINK","B4C","Ind53.1","AB"
"312","PINK.B4C","F",1,NA,"PINK","B4C","Ind53.2","BB"
"313","PINK.E2","F",2,NA,"PINK","E2","Ind92","AA"
"314","PINK.E2","F",2,NA,"PINK","E2","Ind92.1","AB"
"315","PINK.E2","F",2,NA,"PINK","E2","Ind92.2","BB"
"316","PINK.I4C","F",1,NA,"PINK","I4C","Ind35","AA"
"317","PINK.I4C","F",1,NA,"PINK","I4C","Ind35.1","AB"
"318","PINK.I4C","F",1,NA,"PINK","I4C","Ind35.2","BB"
"319","PURPLE.B2","M",2,NA,"PURPLE","B2","Ind80","AA"
"320","PURPLE.B2","M",2,NA,"PURPLE","B2","Ind80.1","AB"
"321","PURPLE.B2","M",2,NA,"PURPLE","B2","Ind80.2","BB"
"322","PURPLE.C2","M",2,NA,"PURPLE","C2","Ind34","AA"
"323","PURPLE.C2","M",2,NA,"PURPLE","C2","Ind34.1","AB"
"324","PURPLE.C2","M",2,NA,"PURPLE","C2","Ind34.2","BB"
"325","PURPLE.D2","M",2,NA,"PURPLE","D2","Ind0","AA"
"326","PURPLE.D2","M",2,NA,"PURPLE","D2","Ind0.1","AB"
"327","PURPLE.D2","M",2,NA,"PURPLE","D2","Ind0.2","BB"
"328","PURPLE.E2","M",2,NA,"PURPLE","E2","Ind64","AA"
"329","PURPLE.E2","M",2,NA,"PURPLE","E2","Ind64.1","AB"
"330","PURPLE.E2","M",2,NA,"PURPLE","E2","Ind64.2","BB"
"331","PURPLE.F2","M",2,NA,"PURPLE","F2","Ind13","AA"
"332","PURPLE.F2","M",2,NA,"PURPLE","F2","Ind13.1","AB"
"333","PURPLE.F2","M",2,NA,"PURPLE","F2","Ind13.2","BB"
"334","PURPLE.G2","M",2,NA,"PURPLE","G2","Ind54","AA"
"335","PURPLE.G2","M",2,NA,"PURPLE","G2","Ind54.1","AB"
"336","PURPLE.G2","M",2,NA,"PURPLE","G2","Ind54.2","BB"
"337","PURPLE.I4A","F",1,NA,"PURPLE","I4A","Ind69","AA"
"338","PURPLE.I4A","F",1,NA,"PURPLE","I4A","Ind69.1","AB"
"339","PURPLE.I4A","F",1,NA,"PURPLE","I4A","Ind69.2","BB"
"340","PURPLE.I5A","F",1,NA,"PURPLE","I5A","Ind59","AA"
"341","PURPLE.I5A","F",1,NA,"PURPLE","I5A","Ind59.1","AB"
"342","PURPLE.I5A","F",1,NA,"PURPLE","I5A","Ind59.2","BB"
"343","RED.B2","M",2,NA,"RED","B2","Ind58","AA"
"344","RED.B2","M",2,NA,"RED","B2","Ind58.1","AB"
"345","RED.B2","M",2,NA,"RED","B2","Ind58.2","BB"
"346","RED.C2","M",2,NA,"RED","C2","Ind72","AA"
"347","RED.C2","M",2,NA,"RED","C2","Ind72.1","AB"
"348","RED.C2","M",2,NA,"RED","C2","Ind72.2","BB"
"349","RED.D2","M",2,NA,"RED","D2","Ind43","AA"
"350","RED.D2","M",2,NA,"RED","D2","Ind43.1","AB"
"351","RED.D2","M",2,NA,"RED","D2","Ind43.2","BB"
"352","RED.E2","M",2,NA,"RED","E2","Ind48","AA"
"353","RED.E2","M",2,NA,"RED","E2","Ind48.1","AB"
"354","RED.E2","M",2,NA,"RED","E2","Ind48.2","BB"
"355","RED.F2","M",2,NA,"RED","F2","Ind40","AA"
"356","RED.F2","M",2,NA,"RED","F2","Ind40.1","AB"
"357","RED.F2","M",2,NA,"RED","F2","Ind40.2","BB"
"358","RED.G2","M",2,NA,"RED","G2","Ind94","AA"
"359","RED.G2","M",2,NA,"RED","G2","Ind94.1","AB"
"360","RED.G2","M",2,NA,"RED","G2","Ind94.2","BB"
"361","RED.I4B","F",1,NA,"RED","I4B","Ind57","AA"
"362","RED.I4B","F",1,NA,"RED","I4B","Ind57.1","AB"
"363","RED.I4B","F",1,NA,"RED","I4B","Ind57.2","BB"
"364","RED.I5B","F",1,NA,"RED","I5B","Ind23","AA"
"365","RED.I5B","F",1,NA,"RED","I5B","Ind23.1","AB"
"366","RED.I5B","F",1,NA,"RED","I5B","Ind23.2","BB"
"367","TAN.C2","F",2,NA,"TAN","C2","Ind60","AA"
"368","TAN.C2","F",2,NA,"TAN","C2","Ind60.1","AB"
"369","TAN.C2","F",2,NA,"TAN","C2","Ind60.2","BB"
"370","TAN.G2","F",2,NA,"TAN","G2","Ind19","AA"
"371","TAN.G2","F",2,NA,"TAN","G2","Ind19.1","AB"
"372","TAN.G2","F",2,NA,"TAN","G2","Ind19.2","BB"
"373","TEAL.C2","F",2,NA,"TEAL","C2","Ind56","AA"
"374","TEAL.C2","F",2,NA,"TEAL","C2","Ind56.1","AB"
"375","TEAL.C2","F",2,NA,"TEAL","C2","Ind56.2","BB"
"376","TEAL.D2","F",2,NA,"TEAL","D2","Ind15","AA"
"377","TEAL.D2","F",2,NA,"TEAL","D2","Ind15.1","AB"
"378","TEAL.D2","F",2,NA,"TEAL","D2","Ind15.2","BB"
"379","TEAL.G2","F",2,NA,"TEAL","G2","Ind10","AA"
"380","TEAL.G2","F",2,NA,"TEAL","G2","Ind10.1","AB"
"381","TEAL.G2","F",2,NA,"TEAL","G2","Ind10.2","BB"
"382","WHITE.B2","M",2,NA,"WHITE","B2","Ind61","AA"
